Rain Guage Name,Station Id,Latitude,Longitude,Sensor Group
ALTAMONT,AATC1,37.69306,-121.60944,CNRFC
ALHAMBRA CREEK,ABAC1,37.97694,-122.17806,CNRFC
ALAMEDA CO FIRE - SAN MIGUEL,ACFC1,37.6971,-122.0804,CNRFC
ALDER CK - PRAIRIE CITY,ACKC1,38.63972,-121.15556,CNRFC
ANTELOPE CREEK - LOOMIS,ACLC1,38.81778,-121.21611,CNRFC
MILL VALLEY LOWER,ACMC1,37.89737,-122.53561,CNRFC
ANTELOPE CREEK DRIVE,ACRC1,38.77,-121.25889,CNRFC
ATHERTON CH UPSTRM CALTRAIN,ACUC1,37.46192,-122.19387,CNRFC
DEL PASO HEIGHTS,ACWC1,38.64167,-121.38277,CNRFC
CHICKEN RANCH - ARDEN WAY,ADWC1,38.59528,-121.41222,CNRFC
EAST MAIN DRAIN,AEMC1,38.61945,-121.46694,CNRFC
ST MARY'S COLLEGE,AGAC1,37.84056,-122.10861,CNRFC
ARCADE CK - GREENBACK LANE,AGBC1,38.68111,-121.32667,CNRFC
ALMADEN WATERSHED,AMDC1,37.15722,-121.83417,CNRFC
AUTO MALL PKWY AT I-880,AMPC1,37.5075,-121.96389,CNRFC
ARCADE CK - WINDING WAY,AMRC1,38.64528,-121.3475,CNRFC
ANDERSON DAM,ANDC1,37.16556,-121.62833,CNRFC
,APC,38.21028,-122.28472,CNRFC
UNIONHOUSE CK - CENTER,APNC1,38.46056,-121.41805,CNRFC
RIDER ROAD,APTC1,37.03611,-121.85278,CNRFC
RINCONADA WTP,AQUC1,37.23444,-121.98306,CNRFC
AUBURN RAVINE - FOWLER,ARFC1,38.89306,-121.21944,CNRFC
PAJARO - CHITTENDEN,AROC1,36.90028,-121.59666,CNRFC
ATLAS PEAK,ATLC1,38.47472,-122.26473,CNRFC
ALVARADO - UNION CITY,AUCC1,37.59333,-122.0875,CNRFC
ANGWIN PACIFIC UNION COLLEGE,AWNC1,38.5712,-122.4332,CNRFC
,BAB,39.13333,-121.45,CNRFC
BATES CREEK,BACC1,37.02083,-121.93028,CNRFC
BALD MOUNTAIN,BALC1,37.57972,-121.51639,CNRFC
BYRON AIRPORT,BAPC1,37.83056,-121.6225,CNRFC
BARNABY,BBEC1,38.02806,-122.70222,CNRFC
BODEGA BAY,BBYC1,38.32084,-123.07472,CNRFC
BODEGA MARINE RESERVE,BDZC1,38.31389,-123.06028,CNRFC
BEACH LAKE POINT,BELC1,38.43889,-121.49861,CNRFC
BRUSH CREEK MIDDLE FORK DAM,BFDC1,38.48664,-122.67249,CNRFC
BETHEL ISLAND FIRE STATION,BFRC1,38.01528,-121.64,CNRFC
BODEGA BAY,BGAC1,38.31333,-123.05,CNRFC
BOGGS MOUNTAIN,BGGC1,38.83083,-122.71584,CNRFC
MATHER,BHCC1,38.54111,-121.31833,CNRFC
BIEL RANCH,BIEC1,37.46722,-121.53,CNRFC
BIG BASIN STATE PARK,BINC1,37.18369,-122.20416,CNRFC
BANJO POINT,BJOC1,37.19611,-121.98473,CNRFC
BROKEN ARROW RANCH,BKAC1,37.52444,-121.5125,CNRFC
BROOKS,BKSC1,38.71944,-122.14222,CNRFC
BOULDER CREEK,BLRC1,37.15389,-122.15889,CNRFC
BARTLETT SPRINGS,BLTC1,39.18222,-122.70333,CNRFC
BOGGS MOUNTAIN,BMHC1,38.83944,-122.71,CNRFC
BEN LOMOND RAWS,BNDC1,37.13083,-122.1725,CNRFC
BEN LOMOND LANDFILL,BNEC1,37.09333,-122.075,CNRFC
BANGOR,BNGC1,39.39833,-121.4,CNRFC
