Rain Guage Name,Station Id,Latitude,Longitude,Sensor Group
Shiloh Ranch Regional Park,40215,38.523822,-122.743892,Sonoma County
Santa Angelina Ranch,40212,38.669962,-122.742251,Sonoma County
Piner Creek at Hopper Ave,40202,38.4798128,-122.7409151,Sonoma County
Mark West Creek at Michele Way,40219,38.511754,-122.724335,Sonoma County
Mark West Creek at Porter Creek Rd,40209,38.5494,-122.720072,Sonoma County
Skyfarm Water Tank,40216,38.492002,-122.717053,Sonoma County
Mark West Regional Park,40213,38.535928,-122.701547,Sonoma County
Pepperwood Preserve,40220,38.570609,-122.69405,Sonoma County
Brush Creek at Badger Rd,40201,38.482242,-122.672988,Sonoma County
Franz Creek at Franz Valley School Rd,40210,38.583716,-122.671742,Sonoma County
Matanzas Creek at Bennett Valley Rd,40208,38.413978,-122.657462,Sonoma County
Spring Lake,40204,38.457047,-122.657442,Sonoma County
Matanzas Reservoir,40200,38.406656,-122.651431,Sonoma County
Spring Creek at Diversion,40203,38.44017,-122.648364,Sonoma County
Enterprise Road,40221,-38.372593,-122.572176,Sonoma County
McCrea Trail Parcel,40211,38.329098,-122.547601,Sonoma County
Bald Mountain,40218,38.458215,-122.510119,Sonoma County
SVCSD WWTP,40205,38.250916,-122.445349,Sonoma County
City Sonoma Thornsberry Tank,40214,38.295871,-122.416107,Sonoma County
Linda Creek at Mark West Springs Rd ,40206,38.506803,-122.723863,Sonoma County
Sonoma Creek downstream Calabazas Creek,40207,38.362584,-122.525253,Sonoma County
Paulin Creek at Chanate Rd,40217,38.467749,-122.712766,Sonoma County
Santa Rosa Downtown Culverts,40222,38.439661,-122.708967,Sonoma County
Copeland Creek ,40223,38.332678,-122.629408,Sonoma County
Nathanson Creek 2nd Street East,40224,38.2912087,-122.4543609,Sonoma County
Piner Creek Dam,40225,38.465531,-122.704673,Sonoma County
Brush Creek Middle Fork Dam,40226,38.486643,-122.672493,Sonoma County
Mirabel ,40227,38.499188,-122.896077,Sonoma County
Green Valley,40228,38.442742,-122.887214,Sonoma County
